job title,joblink,company name,location,job status
Sustainability Supervisor,https://wuzzuf.net/jobs/p/33MT2bQvLSkg-Sustainability-Supervisor-Tamweely-Cairo-Egypt,Tamweely -,"Boulaq, Cairo, Egypt",Full Time
Sustainability & Energy Management Engineer,https://wuzzuf.net/jobs/p/1za2TZQGr45g-Sustainability-Energy-Management-Engineer-ABCO-Group-Alexandria-Egypt,ABCO Group  -,"Bourj Alarab, Alexandria, Egypt",Full Time
Data analyst and sustainability coordinator,https://wuzzuf.net/jobs/p/TiSheXB9yNx7-Data-analyst-and-sustainability-coordinator-Olam-SVI-Giza-Egypt,Olam SVI -,"6th of October, Giza, Egypt",Full Time
Senior Sustainability Specialist,https://wuzzuf.net/jobs/p/ayHBt5HX038E-Senior-Sustainability-Specialist-Integral-Consult-Cairo-Egypt,Integral Consult  -,"Maadi, Cairo, Egypt",Full Time
Sustainable Planning & Design Implementation Manager,https://wuzzuf.net/jobs/p/g/ozo95ccmeNP7-Sustainable-Planning-Design-Implementation-Manager-Life1-International-Tabuk-Saudi-Arabia,Life1 International -,"Tabuk, Saudi Arabia",Full Time
Sustainable Design and Decarbonisation Manager,https://wuzzuf.net/jobs/p/g/1VzlO0dqYRC4-Sustainable-Design-and-Decarbonisation-Manager-Life1-International-Tabuk-Saudi-Arabia,Life1 International -,"Tabuk, Saudi Arabia",Full Time
Business Analyst,https://wuzzuf.net/jobs/p/H11RsWAVTzFn-Business-Analyst-SELECT-Cairo-Egypt,SELECT -,"Cairo, Egypt",Full Time
Corporate Sustainability,https://wuzzuf.net/jobs/p/g/CqR3cxrelWvR-Corporate-Sustainability-Zain-Kuwait-Kuwait-City-Kuwait,Zain Kuwait -,"Kuwait City, Kuwait",Full Time
Business Development Specialist,https://wuzzuf.net/jobs/p/qerA7xtaop1H-Business-Development-Specialist-Integral-Consult-Cairo-Egypt,Integral Consult  -,"Maadi, Cairo, Egypt",Full Time
"QHSE Senior Specialist (Quality, Health, Safety, and Environment)",https://wuzzuf.net/jobs/p/gntKGX2ywCN6-QHSE-Senior-Specialist-Quality-Health-Safety-and-Environment-Cairo-Egypt,Confidential -,"Sheraton, Cairo, Egypt",Full Time
Infrastructure(Devops) engineer,https://wuzzuf.net/jobs/p/GTlyGHPTZ9oF-InfrastructureDevops-engineer-coto-Mumbai-India,coto -,"Mumbai, India",Full Time
Senior Climate Change Mitigation Specialist,https://wuzzuf.net/jobs/p/3wMJkWAkDrbp-Senior-Climate-Change-Mitigation-Specialist-Integral-Consult-Cairo-Egypt,Integral Consult  -,"Maadi, Cairo, Egypt",Full Time
Architect,https://wuzzuf.net/jobs/p/pNdD7HJxPndC-Architect-ARCON-Cairo-Egypt,ARCON -,"Maadi, Cairo, Egypt",Full Time
Junior Architect,https://wuzzuf.net/jobs/p/SNQy5t0LaukG-Junior-Architect-Delta-Egypt-For-Lighting-Cairo-Egypt,Delta Egypt For Lighting  -,"Obour City, Cairo, Egypt",Full Time
Landscape Design Team leader,https://wuzzuf.net/jobs/p/4tF0gDlXyVDT-Landscape-Design-Team-leader-Botanica-Landscapes-Giza-Egypt,Botanica Landscapes  -,"6th of October, Giza, Egypt",Full Time
